公司名称,地区,地址,联系人,职务,电子邮件,电话号码,邮政编码,主营,,客户类别,所属新野,人数,注册资金,开业日期,传真
上海升雄塑胶工业有限公司,上海,上海市凉城路１３１５号,程英雄,,,65294694,200434,生产ＥＶＡ发泡制品及各类塑胶制品，婴儿床及配件，婴儿手推车，背架，儿童脚踏车，玩具，捆绑器及配件，高尔夫球车及配件，模具制造加工，销售自产产品（涉及许可经营的凭许可证经营）。,,中外合作经营企业,泡沫塑料及人造革、合成革制造业,320,412,2002-8-26
上海富丽化妆品有限公司,上海,上海市奉贤区奉新镇奉新北路２２号,李荣秋,,,57120882,201417,生产日用化学品及化妆品，纸箱，木箱及包装印刷，塑料制品，化妆器具。销售自产产品（涉及许可经营的凭许可证经营）。,,港、澳、台独资企业,化妆品制造业,100,140,2002-1-17
上海富尔礼乖宝宝食品有限公司,上海,上海市闵行区兰坪路７６号,杨政财,,,64356003,200240,生产糖果、糕点，蜜饯，蔬果酱，豆沙馅，糯米纸粉，销售自产产品（涉及许可经营的凭许可证经营）。,,与大陆合作经营企业,糖果业,87,120,2002-11-6
上海联川毛纺织有限公司,上海,上海市浦东新区金桥路７９９号,冯永余,,,58710231,200129,经营各类针织毛纱，羊绒纱及精粗纺毛衫，羊绒衫等时装，兔毛，羊绒原料购销,,中外合资经营企业,纺织品批发业,180,320,2002-8-21
上海玛婷日用化工有限公司,上海,上海市松江工业区荣乐东路５２４号,陈武刚,,,64747066,201615,生产高级护肤．护发．美容产品及以使用本公司美容产品为主的美容服务，销售自产产品（涉及许可经营的凭许可证经营）,,外资企业,化妆品制造业,80,362,2002-2-8
上海沪竣汽车修理有限公司,上海,上海市闵行区吴中路２５７６号,谢孟松,,,54854899,201105,生产电力器具．高级建筑装璜材料，汽车维修，汽车保养，汽车装潢，销售自产产品。（涉及许可经营的凭许可证经营）,,与大陆合作经营企业,汽车修理业,45,115,2002-6-17
上海祥利食品有限公司,上海,上海市桂平路２９１号,蔡石男,,,64089760,200233,生产欧式面包，中西式糕点，中西快餐，宠物饼干，食品馅料（豆沙，莲芸，果酱等）加工。销售自产产品（涉及许可经营的凭许可证经营）,,港、澳、台独资企业,方便主食品业,120,100,2002-8-29
上海鹏干贸易有限公司,上海,上海市外高桥保税区富特西一路２８９号２号楼２４８室,堵建国,,,62754471,200131,国际贸易，纺织品及服装的加工，区内仓储运输．在受让土地内经营房产业务。（涉及许可经营的凭许可证经营）,,港、澳、台独资企业,服装制造业,50,200,2002-5-28
上海棕榈电脑系统有限公司,上海,上海市浦东新区郭守敬路４９８号浦东软件园２２号楼２２３０１－１１６室,潘皓波,,,58312426,201203,计算机软、硬件的开发及销售，计算机系统集成及售后服务。（涉及许可经营的凭许可证经营）。,,私营经济,软件开发咨询业,60,200,2002-9-27
上海申富电机有限公司,上海,上海市闵行区江川路５５５号,张伟庭,,,64638221*2882,200240,制造适销于国际市场的分马力电动机，小型柴油发电机组，特种电器、电机及上述产品的技术咨询和修理业务，销售自产产品（涉及许可经营的凭许可证经营）,,与大陆合资经营企业,电动机制造业,100,158,2002-10-24
上海茂泰亚晶建筑装饰有限公司,上海,上海市崇明县城桥镇西门路５１８号,姚以洁,,,13916104771,221520,建筑装饰工程的设计．施工．设备安装及制作与建筑装饰有关的装饰件．金属构件（涉及许可经营的凭许可证经营）。,,中外合资经营企业,装修装饰业,70,150,2002-4-30
上海向日亚电子有限公司,上海,上海市保屯路２２１号３３室,李健光,,,58813920,200010,生产各类金属化薄膜电容器。销售自产产品（涉及许可经营的凭许可证经营）,,与大陆合资经营企业,电子元件制造业,140,115,2002-1-14
上海鸿龙化纤有限公司,上海,上海市松江区洞泾镇,李荣勋,,,57675423,201619,生产经编化纤印染坯布及其服饰制品，销售自产产品（涉及许可经营的凭许可证经营）。,,外资企业,其他纺织业,100,200,2002-1-15
上海汽车空调配件有限公司,上海,上海市浦东新区沪南公路１３００号,顾培华,,,58912477,201204,生产各类制冷剂胶管总成及相关汽车配件。销售自产产品（涉及许可经营的凭许可证经营）,,与大陆合资经营企业,汽车、摩托车及其零配件零售业,150,200,2002-3-20
上海群普电机有限公司,上海,上海市普陀区金沙江路１３４０弄１７２支弄１４号４号楼,佐藤昌己,,,52808618,200331,生产加工微电机线圈，变压器，低压电器。销售自产产品。（涉及许可经营的凭许可证经营）,,外资企业,微电机制造业,269,113,2002-10-29
上海系同电子工业有限公司,上海,上海市金山区金山嘴工业区卫昌路２５１号,汤育璋,,,6724424,201508,生产不涉及出口许可证管理的电脑周边设备，滑鼠，滑鼠等专用微动开关，低功率不断电设备，低功率变压器，电话机凋试机，电路板测试机及碎纸机，销售自产产品（涉及许可经营的凭许可证经营）,,外资企业,电子计算机外部设备制造业,100,150,2002-11-5
上海鑫义服装有限公司,上海,上海市金山区朱泾镇万安街７２４号,冈村吉隆,,,57319144,201500,生产各类中，高档时装，销售自产产品（涉及许可经营的凭许可证经营）。,,中外合作经营企业,服装制造业,500,170,2002-3-5
上海宝利计算机集成技术有限公司,上海,上海市浦东新区张江高科技园区Ａ３－２地块,王力,,,50801155-2262,201203,开发、销售计算机软件及系统，并提供有关硬件组装和技术服务（涉及许可经营的凭许可证经营）。,,中外合资经营企业,软件开发咨询业,84,217,2002-2-8
上海亚细亚铝制品有限公司,上海,上海市青浦区朱家角工业区,杨硕磐,,,59242677,201713,生产铝帷幕墙，铝门窗，铝异型材及售后安装服务，销售公司自产产品。（涉及许可经营的凭许可证经营）。,,与大陆合作经营企业,金属门窗制造业,100,400,2002-6-12
上海ＪＶＣ系统开发工程有限公司,上海,上海市外高桥保税区日京路６８号办公楼三楼,倪建平,,,63917705,200131,ＡＶ专业电子产品领域（含音频，视频及安全防范）系统工程开发，工程承包，设备配套加工与售后服务，国际贸易（含与有外贸经营权企业的贸易），国内保税区企业间的贸易（涉及许可经营的凭许可证经营）。,,中外合资经营企业,技术推广和科技交流服务业,37,160,2002-4-10
上海海上花娱乐有限公司,上海,上海市淮海中路５２７号８楼,王建一,,,63853030,200020,歌舞厅，卡拉ＯＫ，ＫＴＶ，咖啡酒吧，餐饮，烟酒、桌球（涉及许可经营的凭许可证经营）,,中外合作经营企业,娱乐服务业,150,320,2002-9-29
上海东方福达运输服务有限公司,上海,上海市浦东新区浦建路６２０号２０３室,周礼国,,,,200127,航空及海上进出口货物运输代理（含报关，报验，短途运输）；国际航空快递（不含信函）（涉及许可经营的凭许可证经营）。,,与大陆合资经营企业,机场及航空运输辅助业,90,100,2002-9-5
上海菲曼特医疗器械有限公司,上海,上海市南汇康桥工业区康桥路９６１号,王云龙,,,58120997*16,201315,生产齿科治疗机，齿科椅和相关医疗器械产品，销售自产产品（涉及许可经营的凭许可证经营）,,中外合资经营企业,手术器械制造业,56,300,2002-5-30
上海德意达电子电器设备有限公司,上海,上海市浦东沪南公路１３００号,NEIL S. CRAIGIE,,,56776590,201204,生产各类机车监视器，记录器，传感器，指示仪器，机车监测装置及配套元器件，销售自产产品（涉及许可经营的凭许可证经营）。,,中外合资经营企业,铁路专用器材制造业,30,224,2002-8-21
上海联艺抽纱包装材料有限公司,上海,上海浦东新区上南路３８８８号,陆民杰,,,58427969,200124,生产塑料、纸制包装印刷品和抽纱出口所需的样本，商标及其它配套制品等产品（涉及许可经营的凭许可证经营）。,,与大陆合资经营企业,包装装潢印刷业,30,230,2002-2-22
上海祥谷钢结构工程有限公司,上海,上海市青浦区赵屯镇白石公路１３５８号,汪懋光,,,59211124,201711,生产安装钢结构工程件及其配套服务，销售公司自产产品。（涉及许可经营的凭许可证经营）。,,与大陆合资经营企业,金属结构制造业,72,260,2002-2-5
上海灯煌电器有限公司,上海,上海市闵行区浦江陈行知新村,陈荣根,,,64292151,201114,生产各类灯泡，钨丝，钼丝，导丝，导丝机，销售自产产品（涉及许可经营的凭许可证经营）。,,与大陆合资经营企业,电光源制造业,50,102,2002-5-8
上海永冠金属制品有限公司,上海,上海市崇明县向化镇永春村,顾永泉,,,59448888,202161,生产商场展示架．仓储货架．不锈钢厨房设备，销售自产产品。,,中外合资经营企业,其他建筑用金属制品业,150,100,2002-3-28
上海徕卡仪器有限公司,上海,上海市浦东新区金桥出口加工区２０号地块１号楼,DAG GRAUPNER,,,58998916,201206,生产各类切片机及其他组织学仪器，销售自产产品。,,中外合资经营企业,医疗仪器、设备制造业,42,150,2002-7-12
上海都林建筑装饰有限公司,上海,上海市浦东新区行南路４５０号,王福林,,,13701665599,200137,建筑，装饰，市政，土石方，软土地基加固的施工（涉及许可经营的凭许可证经营）。,,与大陆合资经营企业,装修装饰业,580,250,2002-9-23
上海寰城季诺食品有限公司,上海,上海市长宁区虹桥路２５４５弄４号,韩家宇,,,62900503,200336,加工，生产和销售禽肉制品（肉串、肉饼、肉干、肉松等）面制品（中西点心，面包，面条），冰淇淋及冷冻饮品，咖啡制品，澳洲烧烤堡，快餐食品，供应酒和非酒精饮料，提供餐饮管理咨询服务（涉及许可经营的凭许可证经,,外资企业,肉制品加工业,50,310,2002-7-9
上海马哥孛罗面包有限公司,上海,上海市石龙路３４５弄２８号,卓刘庆弟,,,54111946,200237,欧式健康面包，蛋糕，月饼，饼干，糖果，冰品的制作和门市销售，并供应饮料（含酒），咖啡茶座（涉及许可经营的凭许可证经营）,,港、澳、台独资企业,方便主食品业,255,450,2002-2-26
上海宇高有限公司,上海,上海市外高桥保税区富特北路４６８号,宇高司郎,,,58660185,200131,区内加工各类帽子．服装，拎包，毛巾及毛巾制品，以各类帽子，服装，拎包，毛巾及毛巾制品为主的国际贸易，区内仓储及商业性简单加工，保税区内自置房产的经营业务（涉及许可经营的凭许可证经营）,,外资企业,制帽业,100,110,2002-1-10
上海乾隆高科技有限公司,上海,上海市长宁区芙蓉江路１００弄１号,杨庆寿,,,54071868,200336,开发，生产计算机软件，计算机网络系统工程及多媒体电子技术产品，并提供技术及咨询服务，销售自产产品。（涉及许可经营的凭许可证经营）。,,外资企业,软件开发咨询业,86,465,2002-6-4
上海捷锐气压设备有限公司,上海,上海市松江区玉树路２２５号,林秋民,,,57744887,201600,生产供气系统及设备，医疗器械，焊接切割设备，劳防防护用品及其上述产品的零部件，配套仪器，仪表和辅助材料，销售自产产品（涉及许可经营的凭许可证经营）,,外资企业,医疗仪器、设备制造业,80,423,2002-7-25
上海中信燃气有限公司,上海,上海市松江区泖港镇东部工业区内,陈小平,,,57861757,201607,生产罐装液化气及燃气具，销售自产产品（涉及许可经营的凭许可证经营）,,与大陆合资经营企业,石油制品业,48,200,2002-7-18
上海爱迪尔精密铸造有限公司,上海,上海市松江区车墩镇车新公路与南姚路交叉处北侧,王国隆,,,57600848,201611,生产船用五金、电器铸件产品、销售自产产品（涉及许可经营的凭许可证经营）。,,港、澳、台独资企业,铸件制造业,238,200,2002-1-15
上海惠光化学有限公司,上海,上海市奉贤区泰日镇航塘公路２７０１号,陈荣东,,,57588200,201405,生产微肥及有机肥料，草甘膦，灭多威制剂等，新型涂料，土工合成材料，并销售自产产品（涉及许可经营的凭许可证经营）。,,中外合作经营企业,涂料制造业,88,400,2002-10-11
上海钻石楼大酒店有限公司,上海,上海市中山东二路１２７－１５３号,何松鹤,,,63299888-109,200002,中西餐．点心．快餐．风味小吃．卡拉ＯＫ．ＫＴＶ．酒吧．小卖部．摄影及商务服务，食品加工，美容室，（涉及许可经营的凭许可证经营）。,,与大陆合作经营企业,正餐,138,200,2002-8-18
上海融凡服饰有限公司,上海,上海市浦东康桥工业区康意路１８８号Ａ幢底楼,周雪清,,,58221111,201316,生产针织面料，针织品染整，中高档服装及服装辅料，销售公司自产产品。（涉及许可经营的凭许可证经营）。,,港、澳、台独资企业,毛针织品业,250,100,2002-8-29
上海井上新艺塑料有限公司,上海,上海市奉贤区沪杭公路１４９７号,三轮健二郎,,,57431977,201401,生产塑料包袋容器和注塑，吹塑制品，蓄冷板及模具设计和产品设计，销售自产产品（涉及许可经营的凭许可证经营）。,,中外合资经营企业,塑料包装箱及容器制造业,80,168,2002-3-27
上海沪船横森钢结构有限公司,上海,上海市浦东新区孙桥镇三灶村宋家宅２３号,姚柏森,,,58571692,201203,各种金属楼梯，扶手，水泥踏板及建筑用金属结构产品的设计，制作并提拱产品售后安装，维修，技术服务，销售自产产品（涉及出口许可证产品外）（涉及许可经营的凭许可证经营）,,中外合资经营企业,金属结构制造业,62,299,2002-5-22
上海金浦装潢工程有限公司,上海,上海市浦东新区六团镇工业区,薛广生,,,53960947,201202,承接室内外装饰工程的施工，铝合金门窗制作与安装，帷幕墙施工及材料加工，水电安装，冷暖设备的安装。（涉及许可经营的凭许可证经营）。,,与大陆合资经营企业,装修装饰业,40,201,2002-7-18
上海飞利威尔金属导线有限公司,上海,上海市青浦区徐泾镇西郊民营投资区,王世铭,,,59765999,201702,生产不涉及出口许可证管理的裸铜线，铜导线，电脑连接插件（座），导线专用成型机，跳线机，电脑连接线机，锡铜线，销售公司自产产品（涉及许可经营的凭许可证经营）。,,与大陆合作经营企业,电线电缆制造业,170,252,2002-6-12
上海宝菱电气控制设备有限公司,上海,上海市宝山区铁力路２５１０号,王喆,,,56608134,201900,生产工业用变频装置，电气传动控制设备，高低压配电柜，开发，设计工业成套设备的应用软件及系统，销售自产产品并提供相关的现场服务（涉及许可经营的凭许可证经营）,,中外合资经营企业,开关控制设备制造业,87,450,2002-4-22
上海朝立电器有限公司,上海,上海市奉贤区奉新镇奉炮公路１０９号,涂景山,,,57120736,201418,生产非国家控制的小家用电器，保温瓶，保温内胆、配套的橡塑件与模具，文具用品，刀具，餐具，销售公司自产产品（涉及许可经营的凭许可证经营）,,港、澳、台独资企业,其他日用电器制造业,130,130,2002-5-15
上海佳翔服装主辅料有限公司,上海,上海市嘉定区南翔镇沪宜公路１３４１号,张荣峰,,,59127970,201802,生产各类服装主辅料，销售本公司自产产品（涉及许可证凭许可证经营）,,中外合作经营企业,服装制造业,37,180,2002-1-8
上海和成机械有限公司,上海,上海市松江工业区美能达路３５８号,高光益,,,57741601,201613,生产数控瓦楞纸板生产流水线和纸箱加工机械，销售自产产品（涉及许可经营的凭许可证经营）,,外资企业,制浆、造纸工业专用设备制造业,150,142,2002-6-13
菱电国际（上海）有限公司,上海,上海市外高桥保税区富特西一路２８９号Ｂ４０９室,胡法光,,,63272228,200137,国际贸易；区内贸易及区内贸易代理，通过与国内有进出口经营权的企业签订贸易代理合同可与非保税区企业从事贸易业务；区内仓储及商业性简单加工、产品展示及技术培训，区内商品售后维修服务（涉及许可经营的凭许可证,,港、澳、台独资企业,商业经纪与代理业,70,100,2002-7-17
上海百秀制帽有限公司,上海,上海市青浦区赵屯镇大盈工业园区,蔡裕琛,,,59221994,201712,生产各种帽子，包袋，围巾，手套，披肩，皮带，袜子，拖鞋，桌垫，餐套，头饰等系列产品，销售公司自产产品。（涉及许可经营的凭许可证经营）,,中外合作经营企业,制帽业,105,150,2002-9-5
上海富荣工业加热设备有限公司,上海,上海市嘉定区曹安路３８８６号,沈青桦,,,59139871,201812,生产高频机，超音波机，有导加热机，木材加热干燥机及有关工业加热设备和配套的塑胶制品加工，销售本公司自产产品（涉及许可经营的凭许可证经营）,,中外合作经营企业,电焊机制造业,53,126,2002-5-30
上海外高桥公寓酒店有限公司,上海,上海市外高桥保税区Ｅ区外高桥公寓,史贤俊,,,58620000*502,200137,外高桥保税区Ｅ区公寓房出租，附设餐饮，酒吧，卡拉ＯＫ，歌舞厅，美容美发，健身服务（包括网球场，游泳池，健身房，壁球，桑拿，保龄球，桌球房，棋牌室，体育馆）对内服务卖品部，烟酒零售，公寓房物业管理，洗衣,,与大陆合资经营企业,房地产开发与经营业,288,250,2002-8-19
上海西门子通信电源有限公司,上海,上海市浦东新区金桥出口加工区川桥路１５１０号１号厂房,蔡桂保,,,58543080,201206,开发，生产各类通信电源产品及其零部件，销售自产产品，并为用户提供有关工程，技术咨询服务（涉及许可经营的凭许可证经营）,,中外合资经营企业,其他通信设备制造业,130,220,2002-9-26
上海健耀科技有限公司,上海,上海市嘉定区戬浜镇,陈永村,,,59513257,201818,生产橡胶制品、网板、印刷线路板，生产，加工橡、塑配件，网板，软性电路板，模具以及电脑，通讯产品的相关电子部件组装，销售本公司自产产品（涉及许可经营的凭许可证经营）。,,与大陆合作经营企业,橡胶零件制品业,250,230,2002-3-5
衣恋时装（上海）有限公司,上海,上海市闵行区吴泾镇幸福村,崔钟良,,,64500151,201109,生产服装，箱包，床上用品，布艺饰品，窗帘，台布，沙发套和长毛绒玩具，销售自产产品，从事非配额许可证管理，非专营商品的收购出口业务。（涉及许可经营的凭许可证经营）,,外资企业,服装制造业,201,201,2002-5-15
上海切克斯机械有限公司,上海,上海市浦东新区东陆路１２２１号,JUSTIN JIAN YING,,,50322389,201206,生产和销售石油机械、通用机械及配套件,,中外合资经营企业,石油工业专用设备制造业,100,100,2002-8-12
上海海龙海鲜舫有限公司,上海,上海浦东新区东昌路１号,何超琼,,,58401259,200120,港式潮粤风味海鲜菜肴、特色糕点、饮料、酒吧、舞厅、音视伴宴、ＫＴＶ包房，烟草零售（凭许可证经营）（涉及许可经营的凭许可证经营）,,中外合资经营企业,正餐,160,100,2002-7-17
上海泰全电机有限公司,上海,上海市青浦区华新镇凤溪民兴工业区,钟双麟,,,59773362,201705,生产各种汽车用、摩托车用电机，电器，电子零件，仪表及各种电机，电器，电子用之磁铁芯，磁钢，销售公司自产产品并提供产品技术服务（涉及许可经营的凭许可证经营）。,,与大陆合作经营企业,汽车零部件及配件制造业,60,260,2002-10-17
上海明功塑料制品有限公司,上海,上海市闵行区七宝镇沪松公路６２９号,陈彦良,,,64193622,201101,生产各种塑料配件，塑料玩具，化妆品盒，销售自产产品。（涉及许可经营的凭许可证经营）,,与大陆合作经营企业,塑料零件制造业,232,107,2002-9-26
上海黛丝服饰有限公司,上海,上海市闵行区浦江镇苏召路１０８６号,应晓霞,,,64113426,201112,生产销售各类时装及服饰制品（涉及许可经营的凭许可证经营）,,私营经济,服装制造业,70,468,2002-10-18
上海万特园置业有限公司,上海,上海市闵行区古北路１５５１弄３１号,周正宽,,,62192178,201103,在批租地块内房地产开发，销售、租赁、物业管理。（涉及许可经营的凭许可证经营）。,,中外合作经营企业,房地产开发与经营业,60,300,2002-8-15
上海新达建筑材料有限公司,上海,上海市南汇区航头镇工业小区,林秀丽,,,58223881,201316,生产各种塑胶建材，管材，管件用塑料粒子和软管及相关模具，销售自产产品（涉及许可经营的凭许可证经营）。,,外资企业,塑料板、管、棒材制造业,58,465,2002-6-19
上海力申科学仪器有限公司,上海,上海市青浦区重固镇青安路１５８８号,沈钦华,,,,201711,生产高频手术及电凝设备，手术类，二氧化碳培训箱，超净工作台和基因扩增仪，销售自产产品，并提供产品售后服务和技术咨询（涉及许可经营的凭许可证经营）,,港、澳、台独资企业,医疗仪器、设备制造业,54,350,2002-8-1
上海英利物流有限公司,上海,上海市外高桥保税区冰克路５００号二楼,彭焜耀,,,56445111-7110,200137,区内仓储及物流运输管理，国际贸易，转口贸易；保税区内企业间贸易及区内贸易代理，区内物流咨询服务，商业性简单加工，通过国内有进出口经营权的企业代理可与非保税区企业从事贸易业务，区内设备维修服务（涉及许可,,外资企业,仓储业,180,310,2002-2-19
上海界龙食品有限公司,上海,上海市浦东新区川沙镇界龙大道２６８号第二幢第一层,周永清,,,58921888-6360,201205,生产糖果，巧克力食品，真空油炸食品，饼干。佐餐调料，蜜饯，糕点，果酱豆沙，月饼，销售自产产品（涉及许可经营的凭许可证经营）。,,与大陆合资经营企业,糖果业,114,257,2002-9-25
上海丽达商标制造有限公司,上海,上海市奉贤区头桥镇新奉公路１６１１号,池田次郎,,,57550883,201409,设计、生产和加工各类织造商标，印刷商标，转移印刷商标，刺绣饰品，包装材料，吊牌，线带，织带及纺织料的整经加工，销售自产产品（涉及许可经营的凭许可证经营）,,中外合资经营企业,其他棉纺织业,120,210,2002-6-5
上海精准塑胶五金有限公司,上海,上海市闵行区金雨路５９号,张大朋,,,64061053,201103,生产日用小五金，小型编织机，塑胶制品，小型模具及相关配件，销售自产产品（涉及许可经营的凭许可证经营）,,外资企业,塑料零件制造业,130,275,2002-8-15
上海宝以现代园艺有限公司,上海,上海市宝山区庙行镇共康路,王文进,,,56401046,200435,蔬菜，花卉苗木及种苗的种植，畜禽、水产的养殖，销售自产产品（涉及许可经营的凭许可证经营）,,中外合作经营企业,种植业,100,200,2002-8-15
上海东亚丝绸时装有限公司,上海,上海市青浦区赵巷镇,郑楚玲,,,59758587,201703,生产以真丝面料为主的时装及内衣及羽绒制品（羽绒服，羽绒床上用品），销售公司自产产品。（涉及许可经营的凭许可证经营）,,港、澳、台独资企业,服装制造业,150,130,2002-5-22
丰田通商（上海）有限公司,上海,上海市外高桥保税区美桂北路３７８号３８号楼Ｃ部位,田中 英规,,,50463322,200131,保税区内以机械零部件为主的仓储分拨业务及相关产品的商品展示，技术咨询，售后服务，国际贸易，转口贸易，保税区企业间的贸易及区内贸易代理，通过国内有进出口经营权的企业代理与非保税区企业从事贸易业务，商业性,,外资企业,仓储业,60,100,2002-9-11
上海进道集装箱维修有限公司,上海,上海市富锦路１５００号,金宗镐,,,56935435,201901,集装箱修理，整修及堆存（限于修理箱）和生产集装箱五金件及销售自产产品，（涉及许可经营的凭许可证经营）,,中外合作经营企业,集装箱制造业,200,300,2002-1-31
上海皮恩斯电讯电子有限公司,上海,上海市嘉定区江桥镇曹安路１９９１－１号,郑东成,,,59148308,201803,生产通讯电子产品，小家电，电子玩具（遥控），文具，玩具礼品和产品的零配件，销售本公司自产产品及提供售后服务（涉及许可经营的凭许可证经营）,,与大陆合作经营企业,电子元件制造业,120,110,2002-6-11
上海东方明珠丽都工业开发有限公司,上海,上海市青浦区赵巷镇方西村,傅雅池,,,59767722-8211,201711,工业基础设施开发、工业投资咨询服务物业管理及其配套服务（涉及许可经营的凭许可证经营）,,中外合作经营企业,技术推广和科技交流服务业,40,210,2002-9-3
上海泰进精密铸造有限公司,上海,上海市青浦区朱家角镇青睐工业小区,吴建辉,,,59836000,201714,生产脱腊精密铸造产品。高尔夫球具系列产品（高尔夫球头　高尔夫球杆，高尔夫球套，高尔夫球袋，高尔夫球，握托，毛巾，手套等）及不锈钢零配件，销售公司自产产品（涉及许可经营的凭许可证经营）,,与大陆合作经营企业,铸件制造业,150,420,2002-8-27
上海拜西菲装璜制品有限公司,上海,上海市松江区泗泾镇横塘桥,陈长桂,,,57617221,201601,生产各种规格型号的灯具及其配件，塑料制品和装潢制品，木制品窗轨系列，销售自产产品（涉及许可经营的凭许可证经营）,,外资企业,灯具制造业,104,170,2002-1-31
上海大井针纺织制品有限公司,上海,上海市宝山区顾北路２０９号,筒井寿雄,,,56184779,201906,生产各类高级劳防手套及其他针纺织制品，销售自产产品（涉及许可经营的凭许可证经营）,,中外合资经营企业,棉针织品业,183,183,2002-1-31
喜乐康机电（上海）有限公司,上海,上海市青浦区赵巷镇,郑亚伦,,,59752800,201703,生产封箱包装机械、折纸机械、电器零组件（电器管接件及箱盒、电器控制板、电器金具、灯架、马达等）、汽车零部件用冷冲件、铸件及金加工零件、通用五金件、金属压铸件及配件，销售公司自产产品。（涉及许可经营的凭,,外资企业,包装工业专用设备制造业,120,120,2002-3-20
上海京泰包装材料有限公司,上海,上海市闵行区吴中路２１６５弄８５号,ALLEN WANG,,,64593686,201101,生产塑料包装材料及包袋，玩具和旅游工艺品及塑料包装机械制造，销售自产产品（涉及许可经营的凭许可证经营）,,中外合作经营企业,塑料包装箱及容器制造业,199,100,2002-6-11
上海耐世隆机器制造有限公司,上海,上海市浦东新区三林路１１１号,KARI SALMI,,,58419988,200124,设计，生产电缆及塑料制造机械，设备和零部件，销售自产产品并提供售后服务（涉及许可经营的凭许可证经营）。,,外资企业,电工专用设备制造业,37,370,2002-9-11
上海东兴轻工技术有限公司,上海,上海市松江大昆工业园区港业路１５８号,颜杭,,,57855131,201614,生产ＦＲＰ玻璃钢制品，复合材料制品，净化用复合材料滤网、洁净室用复合材料无尘衣帽、口罩，通讯专用机柜及相关配件，销售自产产品并提供售后服务（涉及许可经营的凭许可证经营）。,,外资企业,玻璃钢制品业,130,128,2002-8-15
上海尼可尼泵业有限公司,上海,上海市闵行区联友路７２８号,大崎庄一郎,,,64292249,201105,生产自动给水装置，冷暖调节器，工业用泵及配套电机，锻铸件加工产品，环境保护设备销售自产产品及与上述相关的售后咨询服务（涉及许可经营的凭许可证经营）,,外资企业,泵制造业,70,280,2002-3-6
上海川源机械工程有限公司,上海,上海市浦东新区金桥出口加工区３１号地块嘉浦科技楼内,周金松,,,50550317,201206,生产泵类，环保设备及环保节能工程技术开发，设计，咨询，销售自产产品（涉及许可经营的凭许可证经营）,,外资企业,泵制造业,100,220,2002-6-5
上海公文教育软件有限公司,上海,上海市浦东新区川沙妙境路３４９号,儿玉皓司,,,58984504,200120,生产公文教育软件，教具，销售自产产品及售后服务（涉及许可经营的凭许可证经营）,,外资企业,软件开发咨询业,35,110,2002-1-10
泰玛士建材（上海）有限公司,上海,上海市闵行区杜行镇张行村,罗德宁,,,64115916*47,201112,生产市政工程沥青路面材料及提供服务，销售自产产品（涉及许可经的凭许可证经营）。,,港、澳、台独资企业,其他水泥制品业,47,293,2002-11-7
上海嘉峥机械有限公司,上海,上海市嘉定区曹安路４７９５号,林志贤,,,59596688,201804,生产物料输送机、专用流水线设备，涂装设备，仓储设备，配套的控制设备以及木业制造，销售本公司自产产品并提供售后服务（涉及许可经营的凭许可证经营）。,,中外合作经营企业,商业、饮食业、服务业专用机械制造业,70,110,2002-10-15
硕科图像（上海）有限公司,上海,上海市浦东新区金桥金藏路３５１号２２号地块Ｔ２２－３０幢通用厂房第三层,BRADLEY R.WILLS,,,58545475,201206,从事包装装潢印刷的激光分色及柔性版制版，销售自产产品，提供售后服务及相关技术咨询（涉及许可经营的凭许可证经营）。,,外资企业,包装装潢印刷业,50,130,2002-9-16
飞利浦亚明灯具有限公司,上海,上海市嘉定区沪宜公路２６８８号,刘经伟,,,59156951,201801,生产照明灯具，配套件和灯具的设计，安装调试，销售本公司自产产品提供售后服务（涉及许可经营的凭许可证经营）,,中外合资经营企业,灯具制造业,140,272,2002-6-25
上海兄弟申贝工业有限公司,上海,上海市中山北一路１２００号,邬张雄,,,65171892,200437,生产电子打字机，手动打字机，电子标签机，中文文字处理机等办公设备及零部件和消耗品，销售自产产品（涉及许可经营的凭许可证经营）,,中外合资经营企业,打字机及油印机制造业,33,150,2002-4-30
上海正伟印刷有限公司,上海,上海市青浦区徐泾镇光联村,蔡意诚,,,59764847,201702,不干胶印刷，纸质包装品印刷，塑料制品印刷，自动贴标机的组装和销售（书刊印刷除外）。（涉及许可经营的凭许可证经营）。,,与大陆合作经营企业,包装装潢印刷业,200,490,2002-6-18
上海美佳琪电子有限公司,上海,上海市闵行区鲁汇镇,洪文仁,,,64916249,201112,生产各类电子开关，电位器，连接器，家用小电器等相关的电子零组件及微机电产品的开发，生产，销售自产产品。（涉及许可经营的凭许可证经营）,,港、澳、台独资企业,开关控制设备制造业,200,150,2002-9-26
上海宏城铝业有限公司,上海,上海市青浦区赵屯镇北,王健次,,,59213693,201711,生产铝合金门窗及其零配件，工业及民用铝合金制品（电梯附件，散热片，箱包配件，照相机三角架，指示牌等），及机电设备的五金配件，销售公司自产品（涉及许可经营的凭许可证经营）。,,与大陆合作经营企业,金属门窗制造业,50,400,2002-10-24
上海环亚食品有限公司,上海,上海市普善路３００号,原修一,,,62120887,200071,生产销售不涉及出口许可证的脱水蔬菜，食用菌制品，罐头食品,,外资企业,其他食品加工业,30,131,2002-10-10
